text,label
Gw sih pecah sih ini,Positif
Videonya biasa,Netral
Videonya jelek sumpah,Negatif
"Min, sampah sih menurut gw",Negatif
"Min, enak parah woi",Positif
Sumpah burik sih menurut gw,Negatif
"Min, skip sih menurut gw",Negatif
Sumpah biasa aja dong,Negatif
worth it banget,Positif
Asli gajelas ya,Negatif
Videonya standar,Netral
Sumpah valid no debat sumpah,Positif
Asli sampah asli,Negatif
Videonya biasa aja sumpah,Negatif
Fyp dong,Netral
Gw sih terbaik sih,Positif
keren abis banget,Positif
Gw sih savage banget,Positif
Videonya norak woi,Negatif
Gw sih norak asli,Negatif
Kontennya biasa,Netral
Aku jelek banget,Negatif
"Min, aneh dong",Negatif
"Min, gokil sumpah",Positif
Gw sih cukup,Netral
Sumpah gokil banget,Positif
Ini rata-rata,Netral
"Min, hoax sih menurut gw",Negatif
Meresahkan ya bund,Negatif
Asli ribet asli,Negatif
Ini pecah dong,Positif
Cek DM min,Netral
"Min, sedeng",Netral
"Min, sampah sih ini",Negatif
Asli bagus banget parah sih,Positif
Kontennya norak asli,Negatif
Videonya rekomen woi,Positif
Ini slay parah sih,Positif
Videonya gokil parah sih,Positif
Aku best sumpah,Positif
Jujurly kecewa,Negatif
Gw sih pecah ya,Positif
"Min, rekomen sumpah",Positif
Pantau dulu,Netral
Sumpah zonk dong,Negatif
Ini pecah parah sih,Positif
Ini best sih,Positif
Asli best ya,Positif
Asli cukup,Netral
B aja sih,Netral
"Min, gajelas sih",Negatif
zonk parah sih,Negatif
Jujurly bagus,Positif
Rungkad bos,Negatif
Kontennya rekomen sih ini,Positif
Kontennya enak parah sih menurut gw,Positif
Benar-benar membagongkan,Negatif
Aku sedeng,Netral
Skip dulu,Negatif
Kontennya skip banget,Negatif
Asli hoax ya,Negatif
Kontennya b aja asli,Negatif
Nitip sandal min,Netral
Kontennya skip sumpah,Negatif
Videonya daebak sih menurut gw,Positif
Skip dulu,Negatif
Mantap jiwa,Positif
Gw sih bagus banget asli,Positif
Woy skip sih,Negatif
Wkwkwk,Netral
Xixixi,Netral
Aku jelek sih menurut gw,Negatif
Woy cringe sih menurut gw,Negatif
Kontennya oke lah,Netral
pecah sih ini,Positif
Woy valid no debat sumpah,Positif
Meresahkan ya bund,Negatif
valid no debat sih,Positif
Gw sih worth it banget,Positif
Kontennya aneh sumpah,Negatif
"Min, jelek woi",Negatif
Kontennya slay sumpah,Positif
Gw sih biasa aja woi,Negatif
Asli pecah ya,Positif
Jujurly kecewa,Negatif
Sumpah hoax parah sih,Negatif
Benar-benar membagongkan,Negatif
Gw sih ancur woi,Negatif
B aja,Negatif
Videonya lumayan,Netral
Ini biasa,Netral
"Min, valid no debat dong",Positif
Asli ribet parah sih,Negatif
Sabi lah,Positif
Xixixi,Netral
Asli aneh woi,Negatif
Woy worth it sih menurut gw,Positif
Jujurly bagus,Positif
Jejak,Netral
Sumpah best sih,Positif
best banget,Positif
"Min, terbaik sih menurut gw",Positif
Kontennya cringe asli,Negatif
Woy norak parah sih,Negatif
"Min, bagus banget woi",Positif
Asli slay asli,Positif
Videonya mantul sih menurut gw,Positif
Videonya ribet banget,Negatif
Gw sih mantul sih ini,Positif
Asli ribet banget,Negatif
Aku ribet ya,Negatif
enak parah sih,Positif
Asli best ya,Positif
Gw sih enak parah banget,Positif
Gw sih keren abis banget,Positif
Sumpah valid no debat sumpah,Positif
Kontennya daebak sih menurut gw,Positif
B aja,Negatif
Aku jelek sumpah,Negatif
Woy cringe dong,Negatif
Woy jelek sih,Negatif
Asli rekomen banget,Positif
B aja sih,Netral
Info loker gan,Netral
gajelas dong,Negatif
Ini daebak banget,Positif
Kontennya valid no debat woi,Positif
Gacha ampas,Negatif
b aja woi,Negatif
Woy not bad,Netral
Woy bagus banget woi,Positif
Sumpah skip sumpah,Negatif
Ini keren abis dong,Positif
Asli burik sih menurut gw,Negatif
sampah sumpah,Negatif
Videonya norak sih menurut gw,Negatif
Asli jelek woi,Negatif
Wkwkwk,Netral
Sumpah lebay sih,Negatif
Woy juara sih menurut gw,Positif
"Min, hoax dong",Negatif
Asli lebay woi,Negatif
Valid,Positif
Kekeyi menangis melihat ini,Negatif
Info loker gan,Netral
Sumpah enak parah parah sih,Positif
Sumpah lebay sih ini,Negatif
Woy slay asli,Positif
Sumpah pecah sih,Positif
Ini sampah banget,Negatif
"Min, gokil sumpah",Positif
"Min, aneh asli",Negatif
Sumpah jelek dong,Negatif
savage sih ini,Positif
Mantap jiwa,Positif
Videonya norak ya,Negatif
Kontennya enak parah sih,Positif
Videonya biasa aja sumpah,Negatif
Aku terbaik sih menurut gw,Positif
daebak banget,Positif
Videonya terbaik sih menurut gw,Positif
Sabi lah,Positif
Gaskeun,Positif
bagus banget dong,Positif
"Min, best woi",Positif
Mengsedih,Negatif
Cek DM min,Netral
Kontennya ribet sih ini,Negatif
Gelay banget,Negatif
Asli aneh dong,Negatif
Woy keren abis sih,Positif
Gelay banget,Negatif
Ini skip ya,Negatif
Nyimak,Netral
Videonya worth it parah sih,Positif
Videonya worth it sih menurut gw,Positif
Aku pecah banget,Positif
Aku biasa aja sih ini,Negatif
Kontennya jelek woi,Negatif
Woy ancur dong,Negatif
Nitip sandal min,Netral
Asli ribet asli,Negatif
Aku terbaik sih menurut gw,Positif
Gw sih best sih ini,Positif
"Min, gajelas dong",Negatif
Ygy,Netral
Ini sampah sih,Negatif
cringe dong,Negatif
Kontennya terbaik asli,Positif
Asli b aja dong,Negatif
Ini juara sih,Positif
Sumpah ribet sih menurut gw,Negatif
Aku cringe parah sih,Negatif
Nyimak,Netral
Videonya rata-rata,Netral
Ini sedeng,Netral
Ygy,Netral
Gw sih cringe parah sih,Negatif
Woy keren abis ya,Positif
"Min, aneh asli",Negatif
Valid,Positif
Mengsedih,Negatif
Aku aneh banget,Negatif
Fyp dong,Netral
Gacha ampas,Negatif
norak banget,Negatif
Videonya burik woi,Negatif
Kontennya sedeng,Netral
Videonya daebak dong,Positif
Aku keren abis parah sih,Positif
Ini ribet sih,Negatif
Woy lumayan,Netral
Ini biasa,Netral
"Min, daebak parah sih",Positif
Sumpah oke lah,Netral
Kontennya burik sih ini,Negatif
Asli savage sih ini,Positif
Gw sih standar,Netral
daebak woi,Positif
Aku ancur sih menurut gw,Negatif
Kekeyi menangis melihat ini,Negatif
Sumpah enak parah asli,Positif
Rungkad bos,Negatif
Asli biasa,Netral
