text,label
"Makanan di sini enak banget!",Positif
"Pelayanannya sangat lambat dan tidak ramah.",Negatif
"Harganya standar saja sih.",Netral
"Suka banget sama suasananya.",Positif
"Rasanya hambar, kecewa.",Negatif
"Wah gila sih ini keren banget!",Positif
"Suka banget sama warnanya, soft gitu.",Positif
"Pelayanan ramah, cepet juga sampainya.",Positif
"Mantap jiwa, rasanya nendang!",Positif
"Recommended banget buat yang cari suasana tenang.",Positif
"Harganya murah tapi kualitas gak murahan.",Positif
"Puas banget belanja di sini, bakal langganan.",Positif
"Adminnya gercep, nanya apa aja dijawab.",Positif
"Packing aman, bubble wrap tebel.",Positif
"Sesuai ekspektasi, bahannya adem.",Positif
"Gak nyesel beli ini, worth it parah.",Positif
"Top markotop, sukses terus gan!",Positif
"Enak banget parah, mau meninggal rasanya.",Positif
"Kualitas bintang lima harga kaki lima.",Positif
"Pengalaman yang menyenangkan, terima kasih.",Positif
"Aplikasinya user friendly, mudah digunakan.",Positif
"Fiturnya lengkap dan sangat membantu.",Positif
"Desainnya elegan dan modern.",Positif
"Baterainya awet banget seharian.",Positif
"Kameranya jernih, cocok buat konten.",Positif
"Sinyalnya kenceng di daerah saya.",Positif
"AC-nya dingin, nyaman buat tidur.",Positif
"Kamarnya bersih dan wangi.",Positif
"Sarapannya enak-enak variatif.",Positif
"Lokasinya strategis, deket mana-mana.",Positif
"Filmnya seru abis, plot twistnya dapet.",Positif
"Lagunya enak didengerin pas hujan.",Positif
"Bukunya inspiratif banget.",Positif
"Game-nya seru, grafiknya HD.",Positif
"Sepatunya nyaman dipake lari.",Positif
"Bajunya pas di badan, cuttingannya oke.",Positif
"Wangi parfumnya tahan lama.",Positif
"Skincare ini cocok di muka aku, jadi glowing.",Positif
"Obatnya manjur, langsung sembuh.",Positif
"Terima kasih bonusnya kak!",Positif
"Kecewa banget, barangnya rusak pas sampe.",Negatif
"Pengiriman lama banget kayak nunggu jodoh.",Negatif
"Adminnya jutek, ditanya malah marah.",Negatif
